ExportIndex,Index,Emission (gCO2)
0,1h,0.00178831
0,2h,0.00357742
0,3h,0.0061823
0,4h,0.00813479
0,5h,0.0063533
0,6h,0.0046
0,7h,0.00238564
0,8h,0.00242897
0,9h,0.00228164
0,10h,0.00218931
0,11h,0.00215131
0,12h,0.00221597
0,13h,0.00229631
0,14h,0.00230864
0,15h,0.00207531
0,16h,0.00209498
0,17h,0.0024733
0,18h,0.00197331
0,19h,0.00205731
0,20h,0.00244331
0,21h,0.00197331
0,22h,0.00163698
0,23h,0.00168165
0,24h,0.00171565
1,1h,0.00388498
1,2h,0.00393997
1,3h,0.00220131
1,4h,0.00427197
1,5h,0.00213533
1,6h,0.00230033
1,7h,0.00238567
1,8h,0.002429
1,9h,0.00228167
1,10h,0.00218933
1,11h,0.00215133
1,12h,0.002216
1,13h,0.00229633
1,14h,0.00230867
1,15h,0.00207533
1,16h,0.002095
1,17h,0.00247333
1,18h,0.00197333
1,19h,0.00205733
1,20h,0.00244333
1,21h,0.00197333
1,22h,0.001637
1,23h,0.00168167
1,24h,0.00171567
2,1h,0.00209667
2,2h,0.00217233
2,3h,0.00220133
2,4h,0.002136
2,5h,0.00213533
2,6h,0.00230033
2,7h,0.00238567
2,8h,0.002429
2,9h,0.00228167
2,10h,0.00218933
2,11h,0.00215133
2,12h,0.002216
2,13h,0.00229633
2,14h,0.00230867
2,15h,0.00207533
2,16h,0.002095
2,17h,0.00247333
2,18h,0.00197333
2,19h,0.00205733
2,20h,0.00244333
2,21h,0.00197333
2,22h,0.001637
2,23h,0.00168167
2,24h,0.00171567
3,1h,0.00209667
3,2h,0.00217233
3,3h,0.00220133
3,4h,0.002136
3,5h,0.00213533
3,6h,0.00230033
3,7h,0.00238567
3,8h,0.002429
3,9h,0.00228167
3,10h,0.00218933
3,11h,0.00215133
3,12h,0.002216
3,13h,0.00229633
3,14h,0.00230867
3,15h,0.00207533
3,16h,0.002095
3,17h,0.00247333
3,18h,0.00197333
3,19h,0.00205733
3,20h,0.00244333
3,21h,0.00197333
3,22h,0.001637
3,23h,0.00168167
3,24h,0.00171567
4,1h,0.00209667
4,2h,0.00217233
4,3h,0.00220133
4,4h,0.002136
4,5h,0.00213533
4,6h,0.00230033
4,7h,0.00238567
4,8h,0.002429
4,9h,0.00228167
4,10h,0.00218933
4,11h,0.00215133
4,12h,0.002216
4,13h,0.00229633
4,14h,0.00230867
4,15h,0.00207533
4,16h,0.002095
4,17h,0.00247333
4,18h,0.00197333
4,19h,0.00205733
4,20h,0.00244333
4,21h,0.00197333
4,22h,0.001637
4,23h,0.00168167
4,24h,0.00171567
5,1h,0.00209667
5,2h,0.00217233
5,3h,0.00220133
5,4h,0.002136
5,5h,0.00213533
5,6h,0.00230033
5,7h,0.00238567
5,8h,0.002429
5,9h,0.00228167
5,10h,0.00218933
5,11h,0.00215133
5,12h,0.002216
5,13h,0.00229633
5,14h,0.00230867
5,15h,0.00207533
5,16h,0.002095
5,17h,0.00247333
5,18h,0.00197333
5,19h,0.00205733
5,20h,0.00244333
5,21h,0.00197333
5,22h,0.001637
5,23h,0.00168167
5,24h,0.00171567
6,1h,0.00209667
6,2h,0.00217233
6,3h,0.00220133
6,4h,0.002136
6,5h,0.00213533
6,6h,0.00230033
6,7h,0.00238567
6,8h,0.002429
6,9h,0.00228167
6,10h,0.00218933
6,11h,0.00215133
6,12h,0.002216
6,13h,0.00229633
6,14h,0.00230867
6,15h,0.00207533
6,16h,0.002095
6,17h,0.00247333
6,18h,0.00197333
6,19h,0.00205733
6,20h,0.00244333
6,21h,0.00197333
6,22h,0.001637
6,23h,0.00168167
6,24h,0.00171567
7,1h,0.00209667
7,2h,0.00217233
7,3h,0.00220133
7,4h,0.002136
7,5h,0.00213533
7,6h,0.00230033
7,7h,0.00238567
7,8h,0.002429
7,9h,0.00228167
7,10h,0.00218933
7,11h,0.00215133
7,12h,0.002216
7,13h,0.00229633
7,14h,0.00230867
7,15h,0.00207533
7,16h,0.002095
7,17h,0.00247333
7,18h,0.00197333
7,19h,0.00205733
7,20h,0.00244333
7,21h,0.00197333
7,22h,0.001637
7,23h,0.00168167
7,24h,0.00171567
8,1h,0.00209667
8,2h,0.00217233
8,3h,0.00220133
8,4h,0.002136
8,5h,0.00213533
8,6h,0.00230033
8,7h,0.00238567
8,8h,0.002429
8,9h,0.00228167
8,10h,0.00218933
8,11h,0.00215133
8,12h,0.002216
8,13h,0.00229633
8,14h,0.00230867
8,15h,0.00207533
8,16h,0.002095
8,17h,0.00247333
8,18h,0.00197333
8,19h,0.00205733
8,20h,0.00244333
8,21h,0.00197333
8,22h,0.001637
8,23h,0.00168167
8,24h,0.00171567
9,1h,0.00209667
9,2h,0.00217233
9,3h,0.00220133
9,4h,0.002136
9,5h,0.00213533
9,6h,0.00230033
9,7h,0.00238567
9,8h,0.002429
9,9h,0.00228167
9,10h,0.00218933
9,11h,0.00215133
9,12h,0.002216
9,13h,0.00229633
9,14h,0.00230867
9,15h,0.00207533
9,16h,0.002095
9,17h,0.00247333
9,18h,0.00197333
9,19h,0.00205733
9,20h,0.00244333
9,21h,0.00197333
9,22h,0.001637
9,23h,0.00168167
9,24h,0.00171567
10,1h,0.00209667
10,2h,0.00217233
10,3h,0.00220133
10,4h,0.002136
10,5h,0.00213533
10,6h,0.00230033
10,7h,0.00238567
10,8h,0.002429
10,9h,0.00228167
10,10h,0.00218933
10,11h,0.00215133
10,12h,0.002216
10,13h,0.00229633
10,14h,0.00230867
10,15h,0.00207533
10,16h,0.002095
10,17h,0.00247333
10,18h,0.00197333
10,19h,0.00205733
10,20h,0.00244333
10,21h,0.00197333
10,22h,0.001637
10,23h,0.00168167
10,24h,0.00171567
11,1h,0.00209667
11,2h,0.00217233
11,3h,0.00220133
11,4h,0.002136
11,5h,0.00213533
11,6h,0.00230033
11,7h,0.00238567
11,8h,0.002429
11,9h,0.00228167
11,10h,0.00218933
11,11h,0.00215133
11,12h,0.002216
11,13h,0.00229633
11,14h,0.00230867
11,15h,0.00207533
11,16h,0.002095
11,17h,0.00247333
11,18h,0.00197333
11,19h,0.00205733
11,20h,0.00244333
11,21h,0.00197333
11,22h,0.001637
11,23h,0.00168167
11,24h,0.00171567
12,1h,0.00209667
12,2h,0.00217233
12,3h,0.00220133
12,4h,0.002136
12,5h,0.00213533
12,6h,0.00230033
12,7h,0.00238567
12,8h,0.002429
12,9h,0.00228167
12,10h,0.00218933
12,11h,0.00215133
12,12h,0.002216
12,13h,0.00229633
12,14h,0.00230867
12,15h,0.00207533
12,16h,0.002095
12,17h,0.00247333
12,18h,0.00197333
12,19h,0.00205733
12,20h,0.00244333
12,21h,0.00197333
12,22h,0.001637
12,23h,0.00168167
12,24h,0.00171567
13,1h,0.00209667
13,2h,0.00217233
13,3h,0.00220133
13,4h,0.002136
13,5h,0.00213533
13,6h,0.00230033
13,7h,0.00238567
13,8h,0.002429
13,9h,0.00228167
13,10h,0.00218933
13,11h,0.00215133
13,12h,0.002216
13,13h,0.00229633
13,14h,0.00230867
13,15h,0.00207533
13,16h,0.002095
13,17h,0.00247333
13,18h,0.00197333
13,19h,0.00205733
13,20h,0.00244333
13,21h,0.00197333
13,22h,0.001637
13,23h,0.00168167
13,24h,0.00171567
14,1h,0.00209667
14,2h,0.00217233
14,3h,0.00220133
14,4h,0.002136
14,5h,0.00213533
14,6h,0.00230033
14,7h,0.00238567
14,8h,0.002429
14,9h,0.00228167
14,10h,0.00218933
14,11h,0.00215133
14,12h,0.002216
14,13h,0.00229633
14,14h,0.00230867
14,15h,0.00207533
14,16h,0.002095
14,17h,0.00247333
14,18h,0.00197333
14,19h,0.00205733
14,20h,0.00244333
14,21h,0.00197333
14,22h,0.001637
14,23h,0.00168167
14,24h,0.00171567
15,1h,0.00209667
15,2h,0.00217233
15,3h,0.00220133
15,4h,0.002136
15,5h,0.00213533
15,6h,0.00230033
15,7h,0.00238567
15,8h,0.002429
15,9h,0.00228167
15,10h,0.00218933
15,11h,0.00215133
15,12h,0.002216
15,13h,0.00229633
15,14h,0.00230867
15,15h,0.00207533
15,16h,0.002095
15,17h,0.00247333
15,18h,0.00197333
15,19h,0.00205733
15,20h,0.00244333
15,21h,0.00197333
15,22h,0.001637
15,23h,0.00168167
15,24h,0.00171567
16,1h,0.00209667
16,2h,0.00217233
16,3h,0.00220133
16,4h,0.002136
16,5h,0.00213533
16,6h,0.00230033
16,7h,0.00238567
16,8h,0.002429
16,9h,0.00228167
16,10h,0.00218933
16,11h,0.00215133
16,12h,0.002216
16,13h,0.00229633
16,14h,0.00230867
16,15h,0.00207533
16,16h,0.002095
16,17h,0.00247333
16,18h,0.00197333
16,19h,0.00205733
16,20h,0.00244333
16,21h,0.00197333
16,22h,0.001637
16,23h,0.00168167
16,24h,0.00171567
17,1h,0.00209667
17,2h,0.00217233
17,3h,0.00220133
17,4h,0.002136
17,5h,0.00213533
17,6h,0.00230033
17,7h,0.00238567
17,8h,0.002429
17,9h,0.00228167
17,10h,0.00218933
17,11h,0.00215133
17,12h,0.002216
17,13h,0.00229633
17,14h,0.00230867
17,15h,0.00207533
17,16h,0.002095
17,17h,0.00247333
17,18h,0.00197333
17,19h,0.00205733
17,20h,0.00244333
17,21h,0.00197333
17,22h,0.001637
17,23h,0.00168167
17,24h,0.00171567
18,1h,0.00209667
18,2h,0.00217233
18,3h,0.00220133
18,4h,0.002136
18,5h,0.00213533
18,6h,0.00230033
18,7h,0.00238567
18,8h,0.002429
18,9h,0.00228167
18,10h,0.00218933
18,11h,0.00215133
18,12h,0.002216
18,13h,0.00229633
18,14h,0.00230867
18,15h,0.00207533
18,16h,0.002095
18,17h,0.00247333
18,18h,0.00197333
18,19h,0.00205733
18,20h,0.00244333
18,21h,0.00197333
18,22h,0.001637
18,23h,0.00168167
18,24h,0.00171567
19,1h,0.00209667
19,2h,0.00217233
19,3h,0.00220133
19,4h,0.002136
19,5h,0.00213533
19,6h,0.00230033
19,7h,0.00238567
19,8h,0.002429
19,9h,0.00228167
19,10h,0.00218933
19,11h,0.00215133
19,12h,0.002216
19,13h,0.00229633
19,14h,0.00230867
19,15h,0.00207533
19,16h,0.002095
19,17h,0.00247333
19,18h,0.00197333
19,19h,0.00205733
19,20h,0.00244333
19,21h,0.00197333
19,22h,0.001637
19,23h,0.00168167
19,24h,0.00171567
20,1h,0.00209667
20,2h,0.00217233
20,3h,0.00220133
20,4h,0.002136
20,5h,0.00213533
20,6h,0.00230033
20,7h,0.00238567
20,8h,0.002429
20,9h,0.00228167
20,10h,0.00218933
20,11h,0.00215133
20,12h,0.002216
20,13h,0.00229633
20,14h,0.00230867
20,15h,0.00207533
20,16h,0.002095
20,17h,0.00247333
20,18h,0.00197333
20,19h,0.00205733
20,20h,0.00244333
20,21h,0.00197333
20,22h,0.001637
20,23h,0.00168167
20,24h,0.00171567
21,1h,0.00209667
21,2h,0.00217233
21,3h,0.00220133
21,4h,0.002136
21,5h,0.00213533
21,6h,0.00230033
21,7h,0.00238567
21,8h,0.002429
21,9h,0.00228167
21,10h,0.00218933
21,11h,0.00215133
21,12h,0.002216
21,13h,0.00229633
21,14h,0.00230867
21,15h,0.00207533
21,16h,0.002095
21,17h,0.00247333
21,18h,0.00197333
21,19h,0.00205733
21,20h,0.00244333
21,21h,0.00197333
21,22h,0.001637
21,23h,0.00168167
21,24h,0.00171567
22,1h,0.00209667
22,2h,0.00217233
22,3h,0.00220133
22,4h,0.002136
22,5h,0.00213533
22,6h,0.00230033
22,7h,0.00238567
22,8h,0.002429
22,9h,0.00228167
22,10h,0.00218933
22,11h,0.00215133
22,12h,0.002216
22,13h,0.00229633
22,14h,0.00230867
22,15h,0.00207533
22,16h,0.002095
22,17h,0.00247333
22,18h,0.00197333
22,19h,0.00205733
22,20h,0.00244333
22,21h,0.00197333
22,22h,0.001637
22,23h,0.00168167
22,24h,0.00171567
23,1h,0.00209667
23,2h,0.00217233
23,3h,0.00220133
23,4h,0.002136
23,5h,0.00213533
23,6h,0.00230033
23,7h,0.00238567
23,8h,0.002429
23,9h,0.00228167
23,10h,0.00218933
23,11h,0.00215133
23,12h,0.002216
23,13h,0.00229633
23,14h,0.00230867
23,15h,0.00207533
23,16h,0.002095
23,17h,0.00247333
23,18h,0.00197333
23,19h,0.00205733
23,20h,0.00244333
23,21h,0.00197333
23,22h,0.001637
23,23h,0.00168167
23,24h,0.00171567
24,1h,0.00209667
24,2h,0.00217233
24,3h,0.00220133
24,4h,0.002136
24,5h,0.00213533
24,6h,0.00230033
24,7h,0.00238567
24,8h,0.002429
24,9h,0.00228167
24,10h,0.00218933
24,11h,0.00215133
24,12h,0.002216
24,13h,0.00229633
24,14h,0.00230867
24,15h,0.00207533
24,16h,0.002095
24,17h,0.00247333
24,18h,0.00197333
24,19h,0.00205733
24,20h,0.00244333
24,21h,0.00197333
24,22h,0.001637
24,23h,0.00168167
24,24h,0.00171567
25,1h,0.00209667
25,2h,0.00217233
25,3h,0.00220133
25,4h,0.002136
25,5h,0.00213533
25,6h,0.00230033
25,7h,0.00238567
25,8h,0.002429
25,9h,0.00228167
25,10h,0.00218933
25,11h,0.00215133
25,12h,0.002216
25,13h,0.00229633
25,14h,0.00230867
25,15h,0.00207533
25,16h,0.002095
25,17h,0.00247333
25,18h,0.00197333
25,19h,0.00205733
25,20h,0.00244333
25,21h,0.00197333
25,22h,0.001637
25,23h,0.00168167
25,24h,0.00171567
26,1h,0.00209667
26,2h,0.00217233
26,3h,0.00220133
26,4h,0.002136
26,5h,0.00213533
26,6h,0.00230033
26,7h,0.00238567
26,8h,0.002429
26,9h,0.00228167
26,10h,0.00218933
26,11h,0.00215133
26,12h,0.002216
26,13h,0.00229633
26,14h,0.00230867
26,15h,0.00207533
26,16h,0.002095
26,17h,0.00247333
26,18h,0.00197333
26,19h,0.00205733
26,20h,0.00244333
26,21h,0.00197333
26,22h,0.001637
26,23h,0.00168167
26,24h,0.00171567
27,1h,0.00209667
27,2h,0.00217233
27,3h,0.00220133
27,4h,0.002136
27,5h,0.00213533
27,6h,0.00230033
27,7h,0.00238567
27,8h,0.002429
27,9h,0.00228167
27,10h,0.00218933
27,11h,0.00215133
27,12h,0.002216
27,13h,0.00229633
27,14h,0.00230867
27,15h,0.00207533
27,16h,0.002095
27,17h,0.00247333
27,18h,0.00197333
27,19h,0.00205733
27,20h,0.00244333
27,21h,0.00197333
27,22h,0.001637
27,23h,0.00168167
27,24h,0.00171567
28,1h,0.00209667
28,2h,0.00217233
28,3h,0.00220133
28,4h,0.002136
28,5h,0.00213533
28,6h,0.00230033
28,7h,0.00238567
28,8h,0.002429
28,9h,0.00228167
28,10h,0.00218933
28,11h,0.00215133
28,12h,0.002216
28,13h,0.00229633
28,14h,0.00230867
28,15h,0.00207533
28,16h,0.002095
28,17h,0.00247333
28,18h,0.00197333
28,19h,0.00205733
28,20h,0.00244333
28,21h,0.00197333
28,22h,0.001637
28,23h,0.00168167
28,24h,0.00171567
29,1h,0.00209667
29,2h,0.00217233
29,3h,0.00220133
29,4h,0.002136
29,5h,0.00213533
29,6h,0.00230033
29,7h,0.00238567
29,8h,0.002429
29,9h,0.00228167
29,10h,0.00218933
29,11h,0.00215133
29,12h,0.002216
