ExportIndex,Index,Emission (gCO2)
0,1m,258.54
0,2m,13.2575
0,3m,0
0,4m,0
0,5m,0
0,6m,0
0,7m,0
0,8m,0
0,9m,0
0,10m,0
0,11m,0
0,12m,0
