ExportIndex,Index,Emission (gCO2)
11,21h,32.8428
11,22h,30.0672
11,23h,29.8776
11,24h,29.5704
12,1h,27.5484
12,2h,27.3912
12,3h,25.8084
12,4h,23.8236
12,5h,22.8228
12,6h,22.3068
12,7h,22.9296
12,8h,23.0076
12,9h,23.5836
12,10h,24.0048
12,11h,24.1068
12,12h,23.7648
12,13h,23.4096
12,14h,23.8368
12,15h,24.7524
12,16h,25.4616
12,17h,26.0172
12,18h,26.2272
12,19h,26.1756
12,20h,25.578
12,21h,25.008
12,22h,24.078
12,23h,22.6272
12,24h,22.032
13,1h,21.7992
13,2h,21.2604
13,3h,21.0612
13,4h,20.34
13,5h,20.7144
13,6h,21.6312
13,7h,22.4028
13,8h,23.0736
13,9h,22.818
13,10h,21.8436
13,11h,20.9808
13,12h,20.3952
13,13h,20.5884
13,14h,21.7956
13,15h,22.6104
13,16h,22.9752
13,17h,22.1544
13,18h,21.264
13,19h,20.0472
13,20h,19.5396
13,21h,18.864
13,22h,18.5232
13,23h,17.1948
13,24h,18.102
14,1h,18.0816
14,2h,18.5916
14,3h,18.162
14,4h,18.2844
14,5h,18.822
14,6h,19.9836
14,7h,20.1276
14,8h,21.03
14,9h,21.0768
14,10h,19.1508
14,11h,17.4012
14,12h,17.6916
14,13h,17.6328
14,14h,18.6132
14,15h,20.3304
14,16h,21.2868
14,17h,23.2776
14,18h,24.45
14,19h,25.0428
14,20h,25.3944
14,21h,25.8624
14,22h,26.382
14,23h,25.7616
14,24h,25.056
15,1h,25.9476
15,2h,26.4024
15,3h,26.1144
15,4h,26.6508
15,5h,27.8736
15,6h,28.9584
15,7h,27.8556
15,8h,26.9484
15,9h,26.7984
15,10h,25.8444
15,11h,22.5444
15,12h,21.0828
15,13h,20.5896
15,14h,21.81
15,15h,23.82
15,16h,25.0812
15,17h,26.304
15,18h,27.6264
15,19h,26.9904
15,20h,25.1784
15,21h,22.3932
15,22h,21.2328
15,23h,20.0844
15,24h,20.112
16,1h,20.7456
16,2h,20.7
16,3h,20.8236
16,4h,21.6648
16,5h,23.7684
16,6h,25.6308
16,7h,27.9072
16,8h,29.2728
16,9h,28.5192
16,10h,27.0276
16,11h,25.0164
16,12h,24.9432
16,13h,24.408
16,14h,24.4692
16,15h,24.288
16,16h,22.962
16,17h,23.2116
16,18h,24.3384
16,19h,24.3348
16,20h,24.108
16,21h,24.3036
16,22h,24.3024
16,23h,22.908
16,24h,20.2704
17,1h,19.1916
17,2h,19.0188
17,3h,18.1056
17,4h,19.4328
17,5h,21.7992
17,6h,23.7024
17,7h,23.1576
17,8h,25.2408
17,9h,25.038
17,10h,23.3256
17,11h,23.7024
17,12h,23.2644
17,13h,22.5756
17,14h,23.7396
17,15h,23.3232
17,16h,25.7916
17,17h,26.2056
17,18h,30.3516
17,19h,30.192
17,20h,30.264
17,21h,28.8312
17,22h,27.936
17,23h,24.4536
17,24h,23.0148
18,1h,23.2512
18,2h,22.0392
18,3h,21.9012
18,4h,21.9144
18,5h,23.7792
18,6h,26.952
18,7h,28.854
18,8h,29.0148
18,9h,28.2876
18,10h,25.7124
18,11h,22.9992
18,12h,20.9532
18,13h,19.914
18,14h,20.5704
18,15h,22.3416
18,16h,24.7116
18,17h,26.076
18,18h,26.1396
18,19h,25.3704
18,20h,24.396
18,21h,22.716
18,22h,19.8792
